Ecclesiastes 1:1	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of Ecclesiastes, the son of David, king of Jerusalem. 	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of the preacher, the son of David, king of Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem:	Words of a preacher, son of David, king in Jerusalem:	The words of the Preacher, the son of David, king in Jerusalem.	
Ecclesiastes 9:12	For man also knoweth not his time: as the fishes that are taken in an evil net, and as the birds that are caught in the snare; so <i>are</i> the sons of men snared in an evil time, when it falleth suddenly upon them.	For man also knoweth not his time: as the fishes that are taken in an evil net, and as the birds that are caught in the snare, even so are the sons of men snared in an evil time, when it falleth suddenly upon them.	Man knoweth not his own end: but as fishes are taken with the hook, and as birds are caught with the snare, so men are taken in the evil time, when it shall suddenly come upon them. 	For man also knoweth not his time: as the fishes that are taken in an evil net, and as the birds that are taken with the snare, like them are the children of men snared in an evil time, when it falleth suddenly upon them.	For man also knoweth not his time: as the fishes that are taken in an evil net, and as the birds that are caught in the snare, even so, are the sons of men snared in an evil time, when it falleth suddenly upon them.	For man also knoweth not his time: as the fishes that are taken in an evil net, and as the birds that are caught in the snare; so are the sons of men snared in an evil time, when it falleth suddenly upon them.	For man also doesn't know his time. As the fish that are taken in an evil net, and as the birds that are caught in the snare, even so are the sons of men snared in an evil time, when it falls suddenly on them.	For even man knoweth not his time; as fish that are taken hold of by an evil net, and as birds that are taken hold of by a snare, like these are the sons of man snared at an evil time, when it falleth upon them suddenly.	For man also knows not his time: as the fishes that are taken in an evil net, and as the birds that are caught in the snare; so are the sons of men snared in an evil time, when it falls suddenly on them.	
Ecclesiastes 9:13	This wisdom have I seen also under the sun, and it <i>seemed</i> great unto me:	I have also seen wisdom under the sun on this wise, and it seemed great unto me:	This wisdom also I have seen under the sun, and it seemed to me to be very great: 	This also have I seen as wisdom under the sun, and it was great unto me.	I have also seen wisdom under the sun on this wise, and it seemed great unto me:	This wisdom have I seen also under the sun, and it seemed to me great:	I have also seen wisdom under the sun in this way, and it seemed great to me.	This also I have seen: wisdom under the sun, and it is great to me.	This wisdom have I seen also under the sun, and it seemed great to me:	
Ecclesiastes 9:14	<i>There was</i> a little city, and few men within it; and there came a great king against it, and besieged it, and built great bulwarks against it:	There was a little city, and few men within it; and there came a great king against it, and besieged it, and built great bulwarks against it.	A little city, and few men in it: there came against it a great king, and invested it, and built bulwarks round about it, and the siege was perfect. 	There was a little city, and few men within it; and there came a great king against it, and encompassed it, and built great bulwarks against it:	There was a little city, and few men within it; and there came a great king against it, and besieged it, and built great bulwarks against it:	There was a little city, and few men within it; and there came a great king against it, and besieged it, and built great bulwarks against it:	There was a little city, and few men within it; and a great king came against it, besieged it, and built great bulwarks against it.	A little city, and few men in it, and a great king hath come unto it, and hath surrounded it, and hath built against it great bulwarks;	There was a little city, and few men within it; and there came a great king against it, and besieged it, and built great bulwarks against it:	
Ecclesiastes 9:15	Now there was found in it a poor wise man, and he by his wisdom delivered the city; yet no man remembered that same poor man.	Now there was found in it a poor wise man, and he by his wisdom delivered the city; yet no man remembered that same poor man.	Now there was found in it a man poor and wise, and he delivered the city by his wisdom, and no man afterward remembered that poor man. 	and there was found in it a poor wise man, who by his wisdom delivered the city; but no man remembered that poor man.	Now there was found in it a poor wise man, and he by his wisdom delivered the city; yet no man remembered that same poor man.	Now there was found in it a poor wise man, and he by his wisdom delivered the city; yet no man remembered that same poor man.	Now a poor wise man was found in it, and he by his wisdom delivered the city; yet no man remembered that same poor man.	and there hath been found in it a poor wise man, and he hath delivered the city by his wisdom, and men have not remembered that poor man!	Now there was found in it a poor wise man, and he by his wisdom delivered the city; yet no man remembered that same poor man.	
Ecclesiastes 9:16	Then said I, Wisdom <i>is</i> better than strength: nevertheless the poor man's wisdom <i>is</i> despised, and his words are not heard.	Then said I, Wisdom is better than strength: nevertheless the poor man's wisdom is despised, and his words are not heard.	And I said that wisdom is better than strength: how then is the wisdom of the poor man slighted, and his words not heard? 	Then said I, Wisdom is better than strength; but the poor man's wisdom is despised, and his words are not heard.	Then said I, Wisdom is better than strength: nevertheless the poor man's wisdom is despised, and his words are not heard.	Then said I, wisdom is better than strength: nevertheless the poor man's wisdom is despised, and his words are not heard.	Then I said, |Wisdom is better than strength.| Nevertheless the poor man's wisdom is despised, and his words are not heard.	And I said, 'Better is wisdom than might, and the wisdom of the poor is despised, and his words are not heard.' &#8212; 	Then said I, Wisdom is better than strength: nevertheless the poor man's wisdom is despised, and his words are not heard.	
Ecclesiastes 9:17	The words of wise <i>men are</i> heard in quiet more than the cry of him that ruleth among fools.	The words of the wise heard in quiet are better than the cry of him that ruleth among fools.	The words of the wise are heard in silence, more than the cry of a prince among fools. 	The words of the wise are heard in quiet more than the cry of him that ruleth among fools.	The words of the wise spoken in quiet are heard more than the cry of him that ruleth among fools.	The words of wise men are heard in quiet more than the cry of him that ruleth among fools.	The words of the wise heard in quiet are better than the cry of him who rules among fools.	The words of the wise in quiet are heard, More than the cry of a ruler over fools.	The words of wise men are heard in quiet more than the cry of him that rules among fools.	
Ecclesiastes 9:18	Wisdom <i>is</i> better than weapons of war: but one sinner destroyeth much good.	Wisdom is better than weapons of war; but one sinner destroyeth much good.	Better is wisdom, than weapons of war: and he that shall offend in one, shall lose many good things. 	Wisdom is better than weapons of war; but one sinner destroyeth much good.	Wisdom is better than weapons of war: but one sinner destroyeth much good.	Wisdom is better than weapons of war: but one sinner destroyeth much good.	Wisdom is better than weapons of war; but one sinner destroys much good.	Better is wisdom than weapons of conflict, And one sinner destroyeth much good!	Wisdom is better than weapons of war: but one sinner destroys much good.	
Ecclesiastes 10:1	Dead flies cause the ointment of the apothecary to send forth a stinking savour: <i>so doth</i> a little folly him that is in reputation for wisdom <i>and</i> honour.	Dead flies cause the oil of the perfumer to send forth an evil odor;'so doth a little folly outweigh wisdom and honor.	Dying flies spoil the sweetness of the ointment. Wisdom and glory is more precious than a small and shortlived folly. 	Dead flies cause the ointment of the apothecary to stink and ferment; so a little folly is weightier than wisdom and honour.	Dead flies cause the ointment of the perfumer to send forth a stinking savour: so doth a little folly outweigh wisdom and honour.	Dead flies cause the ointment of the apothecary to send forth an offensive odor: so doth a little folly him that is in reputation for wisdom and honor.	Dead flies cause the oil of the perfumer to send forth an evil odor; so does a little folly outweigh wisdom and honor.	Dead flies cause a perfumer's perfume To send forth a stink; The precious by reason of wisdom &#8212; By reason of honour &#8212; a little folly!	Dead flies cause the ointment of the apothecary to send forth a stinking smell: so does a little folly him that is in reputation for wisdom and honor.	
Ecclesiastes 10:2	A wise man's heart <i>is</i> at his right hand; but a fool's heart at his left.	A wise man's heart is at his right hand; but a fool's heart at his left.	The heart of a wise man is in his right hand, and the heart of a fool is in his left hand. 	The heart of a wise man is at his right hand; but a fool's heart at his left.	A wise man's heart is at his right hand; but a fool's heart at his left.	A wise man's heart is at his right hand; but a fool's heart is at his left.	A wise man's heart is at his right hand, but a fool's heart at his left.	The heart of the wise is at his right hand, And the heart of a fool at his left.	A wise man's heart is at his right hand; but a fool's heart at his left.	
Ecclesiastes 10:3	Yea also, when he that is a fool walketh by the way, his wisdom faileth <i>him</i>, and he saith to every one <i>that</i> he <i>is</i> a fool.	Yea also, when the fool walketh by the way, his understanding faileth him, and he saith to every one that he is a fool.	Yea, and the fool when he walketh in the way, whereas be himself is a fool, esteemeth all men fools. 	Yea also, when he that is a fool walketh by the way, his sense faileth him, and he saith to every one that he is a fool.	Yea also, when the fool walketh by the way, his understanding faileth him, and he saith to every one that he is a fool.	Also, when he that is a fool walketh by the way, his wisdom faileth him, and he saith to every one that he is a fool.	Yes also, when the fool walks by the way, his understanding fails him, and he says to everyone that he is a fool.	And also, when he that is a fool Is walking in the way, his heart is lacking, And he hath said to every one, 'He is a fool.'	Yes also, when he that is a fool walks by the way, his wisdom fails him, and he said to every one that he is a fool.	
Ecclesiastes 10:4	If the spirit of the ruler rise up against thee, leave not thy place; for yielding pacifieth great offences.	If the spirit of the ruler rise up against thee, leave not thy place; for gentleness allayeth great offences.	If the spirit of him that hath power, ascend upon thee, leave not thy place: because care will make the greatest sins to cease. 	If the spirit of the ruler rise up against thee, leave not thy place; for quietness pacifieth great offences.	If the spirit of the ruler rise up against thee, leave not thy place; for yielding allayeth great offences.	If the spirit of the ruler riseth against thee, leave not thy place; for yielding pacifieth great offenses.	If the spirit of the ruler rises up against you, don't leave your place; for gentleness lays great offenses to rest.	If the spirit of the ruler go up against thee, Thy place leave not, For yielding quieteth great sinners.	If the spirit of the ruler rise up against you, leave not your place; for yielding pacifies great offenses.	
Ecclesiastes 10:5	There is an evil <i>which</i> I have seen under the sun, as an error <i>which</i> proceedeth from the ruler:	There is an evil which I have seen under the sun, as it were an error which proceedeth from the ruler:	There is an evil that I have seen under the sun, as it were by an error proceeding from the face of the prince: 	There is an evil that I have seen under the sun, as an error that proceedeth from the ruler:	There is an evil which I have seen under the sun, as it were an error which proceedeth from the ruler:	There is an evil which I have seen under the sun, as an error which proceedeth from the ruler:	There is an evil which I have seen under the sun, the sort of error which proceeds from the ruler.	There is an evil I have seen under the sun, As an error that goeth out from the ruler,	There is an evil which I have seen under the sun, as an error which proceeds from the ruler:	
Ecclesiastes 10:6	Folly is set in great dignity, and the rich sit in low place.	folly is set in great dignity, and the rich sit in a low place.	A fool set in high dignity, and the rich sitting beneath. 	folly is set in great dignities, but the rich sit in a low place.	folly is set in great dignity, and the rich sit in low place.	Folly is set in great dignity, and the rich sit in low place.	Folly is set in great dignity, and the rich sit in a low place.	He hath set the fool in many high places, And the rich in a low place do sit.	Folly is set in great dignity, and the rich sit in low place.	
Ecclesiastes 10:7	I have seen servants upon horses, and princes walking as servants upon the earth.	I have seen servants upon horses, and princes walking like servants upon the earth.	I have seen servants upon horses: and princes walking on the ground as servants. 	I have seen servants upon horses, and princes walking as servants upon the earth.	I have seen servants upon horses, and princes walking as servants upon the earth.	I have seen servants upon horses, and princes walking as servants upon the earth.	I have seen servants on horses, and princes walking like servants on the earth.	I have seen servants on horses, And princes walking as servants on the earth.	I have seen servants on horses, and princes walking as servants on the earth.	
Ecclesiastes 10:8	He that diggeth a pit shall fall into it; and whoso breaketh an hedge, a serpent shall bite him.	He that diggeth a pit shall fall into it; and whoso breaketh through a wall, a serpent shall bite him.	He that diggeth a pit, shall fall into it: and he that breaketh a hedge, a serpent shall bite him. 	He that diggeth a pit falleth into it; and whoso breaketh down a hedge, a serpent biteth him.	He that diggeth a pit shall fall into it; and whoso breaketh through a fence, a serpent shall bite him.	He that diggeth a pit shall fall into it; and whoever breaketh a hedge, a serpent shall bite him.	He who digs a pit may fall into it; and whoever breaks through a wall may be bitten by a snake.	Whoso is digging a pit falleth into it, And whoso is breaking a hedge, a serpent biteth him.	He that digs a pit shall fall into it; and whoever breaks an hedge, a serpent shall bite him.	
Ecclesiastes 10:9	Whoso removeth stones shall be hurt therewith; <i>and</i> he that cleaveth wood shall be endangered thereby.	Whoso heweth out stones shall be hurt therewith; and he that cleaveth wood is endangered thereby.	He that removeth stones, shall be hurt by them: and he that cutteth trees, shall be wounded by them. 	Whoso removeth stones is hurt therewith; he that cleaveth wood is endangered thereby.	Whoso heweth out stones shall be hurt therewith; and he that cleaveth wood is endangered thereby.	Whoever removeth stones shall be hurt by them; and he that cleaveth wood shall be endangered by it.	Whoever carves out stones may be injured by them. Whoever splits wood may be endangered thereby.	Whoso is removing stones is grieved by them, Whoso is cleaving trees endangered by them.	Whoever removes stones shall be hurt therewith; and he that splits wood shall be endangered thereby.	
Ecclesiastes 10:10	If the iron be blunt, and he do not whet the edge, then must he put to more strength: but wisdom <i>is</i> profitable to direct.	If the iron be blunt, and one do not whet the edge, then must he put to more strength: but wisdom is profitable to direct.	If the iron be blunt, and be not as before, but be made blunt, with much labour it shall be sharpened: and after industry shall follow wisdom. 	If the iron be blunt, and one do not whet the edge, then must he apply more strength; but wisdom is profitable to give success.	If the iron be blunt, and one do not whet the edge, then must he put to more strength: but wisdom is profitable to direct.	If the iron is blunt, and he doth not whet the edge, then must he use more strength: but wisdom is profitable to direct.	If the axe is blunt, and one doesn't sharpen the edge, then he must use more strength; but skill brings success.	If the iron hath been blunt, And he the face hath not sharpened, Then doth he increase strength, And wisdom is advantageous to make right.	If the iron be blunt, and he do not whet the edge, then must he put to more strength: but wisdom is profitable to direct.	
Ecclesiastes 10:11	Surely the serpent will bite without enchantment; and a babbler is no better.	If the serpent bite before it is charmed, then is there no advantage in the charmer.	If a serpent bite in silence, he is nothing better that backbiteth secretly. 	If the serpent bite before enchantment, then the charmer hath no advantage.	If the serpent bite before it be charmed, then is there no advantage in the charmer.	Surely the serpent will bite without enchantment; and a babbler is no better.	If the snake bites before it is charmed, then is there no profit for the charmer's tongue.	If the serpent biteth without enchantment, Then there is no advantage to a master of the tongue.	Surely the serpent will bite without enchantment; and a babbler is no better.	
Ecclesiastes 10:12	The words of a wise man's mouth <i>are</i> gracious; but the lips of a fool will swallow up himself.	The words of a wise man's mouth are gracious; but the lips of a fool will swallow up himself.	The words of the mouth of a wise man are grace: but the lips of a fool shall throw him down headlong. 	The words of a wise man's mouth are gracious; but the lips of a fool swallow up himself.	The words of a wise man's mouth are gracious; but the lips of a fool will swallow up himself.	The words of a wise man's mouth are gracious; but the lips of a fool will swallow up himself.	The words of a wise man's mouth are gracious; but a fool is swallowed by his own lips.	Words of the mouth of the wise are gracious, And the lips of a fool swallow him up.	The words of a wise man's mouth are gracious; but the lips of a fool will swallow up himself.	
Ecclesiastes 10:13	The beginning of the words of his mouth <i>is</i> foolishness: and the end of his talk <i>is</i> mischievous madness.	The beginning of the words of his mouth is foolishness; and the end of his talk is mischievous madness.	The beginning of his words is folly, and the end of his talk is a mischievous error. 	The beginning of the words of his mouth is folly; and the end of his talk is mischievous madness.	The beginning of the words of his mouth is foolishness: and the end of his talk is mischievous madness.	The beginning of the words of his mouth is foolishness: and the end of his talk is mischievous madness.	The beginning of the words of his mouth is foolishness; and the end of his talk is mischievous madness.	The beginning of the words of his mouth is folly, And the latter end of his mouth Is mischievous madness.	The beginning of the words of his mouth is foolishness: and the end of his talk is mischievous madness.	
Ecclesiastes 10:14	A fool also is full of words: a man cannot tell what shall be; and what shall be after him, who can tell him?	A fool also multiplieth words: yet man knoweth not what shall be; and that which shall be after him, who can tell him?	A fool multiplieth words. A man cannot tell what hath been before him: and what shall be after him, who can tell him? 	And the fool multiplieth words: yet man knoweth not what shall be; and what shall be after him, who will tell him?	A fool also multiplieth words: yet man knoweth not what shall be; and that which shall be after him, who can tell him?	A fool also is full of words: a man cannot tell what shall be; and what shall be after him, who can tell him?	A fool also multiplies words. Man doesn't know what will be; and that which will be after him, who can tell him?	And the fool multiplieth words: 'Man knoweth not that which is, And that which is after him, who doth declare to him?'	A fool also is full of words: a man cannot tell what shall be; and what shall be after him, who can tell him?	
Ecclesiastes 10:15	The labour of the foolish wearieth every one of them, because he knoweth not how to go to the city.	The labor of fools wearieth every one of them; for he knoweth not how to go to the city.	The labour of fools shall afflict them that know not bow to go to the city. 	The labour of fools wearieth them, because they know not how to go to the city.	The labour of fools wearieth every one of them, for he knoweth not how to go to the city.	The labor of the foolish wearieth every one of them, because he knoweth not how to go to the city.	The labor of fools wearies every one of them; for he doesn't know how to go to the city.	The labour of the foolish wearieth him, In that he hath not known to go unto the city.	The labor of the foolish wearies every one of them, because he knows not how to go to the city.	
Ecclesiastes 10:16	Woe to thee, O land, when thy king <i>is</i> a child, and thy princes eat in the morning!	Woe to thee, O land, when thy king is a child, and thy princes eat in the morning!	Woe to thee, O land, when thy king is a child, and when the princes eat in the morning. 	Woe to thee, O land, when thy king is a child, and thy princes eat in the morning!	Woe to thee, O land, when thy king is a child, and thy princes eat in the morning!	Woe to thee, O land, when thy king is a child, and thy princes eat in the morning!	Woe to you, land, when your king is a child, and your princes eat in the morning!	Woe to thee, O land, when thy king is a youth, And thy princes do eat in the morning.	Woe to you, O land, when your king is a child, and your princes eat in the morning!	
Ecclesiastes 10:17	Blessed <i>art</i> thou, O land, when thy king <i>is</i> the son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!	Happy art thou, O land, when thy king is the son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!	Blessed is the land, whose king is noble, and whose princes eat in due season for refreshment, and not for riotousness. 	Happy art thou, O land, when thy king is a son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!	Happy art thou, O land, when thy king is the son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!	Blessed art thou, O land, when thy king is the son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!	Happy are you, land, when your king is the son of nobles, and your princes eat in due season, for strength, and not for drunkenness!	Happy art thou, O land, When thy king is a son of freemen, And thy princes do eat in due season, For might, and not for drunkenness.	Blessed are you, O land, when your king is the son of nobles, and your princes eat in due season, for strength, and not for drunkenness!	
Ecclesiastes 10:18	By much slothfulness the building decayeth; and through idleness of the hands the house droppeth through.	By slothfulness the roof sinketh in; and through idleness of the hands the house leaketh.	By slothfulness a building shall be brought down, and through the weakness of hands, the house shall drop through. 	By much sloth fulness the framework falleth in; and through idleness of the hands the house drippeth.	By slothfulness the roof sinketh in; and through idleness of the hands the house leaketh.	By much slothfulness the building decayeth; and through idleness of the hands the house droppeth through.	By slothfulness the roof sinks in; and through idleness of the hands the house leaks.	By slothfulness is the wall brought low, And by idleness of the hands doth the house drop.	By much slothfulness the building decays; and through idleness of the hands the house drops through.	
Ecclesiastes 10:19	A feast is made for laughter, and wine maketh merry: but money answereth all <i>things</i>.	A feast is made for laughter, and wine maketh glad the life; and money answereth all things.	For laughter they make bread, and wine that the living may feast: and all things obey money. 	A feast is made for laughter, and wine maketh life merry; but money answereth everything.	A feast is made for laughter, and wine maketh glad the life: and money answereth all things.	A feast is made for laughter, and wine maketh merry: but money answereth all things.	A feast is made for laughter, and wine makes the life glad; and money is the answer for all things.	For mirth they are making a feast, And wine maketh life joyful, And the silver answereth with all.	A feast is made for laughter, and wine makes merry: but money answers all things.	
Ecclesiastes 10:20	Curse not the king, no not in thy thought; and curse not the rich in thy bedchamber: for a bird of the air shall carry the voice, and that which hath wings shall tell the matter.	Revile not the king, no, not in thy thought; and revile not the rich in thy bedchamber: for a bird of the heavens shall carry the voice, and that which hath wings shall tell the matter.	Detract not the king, no not in thy thought; and speak not evil of the rich man in thy private chamber: because even the birds of the air will carry thy voice, and he that hath wings will tell what thou hast said. 	Curse not the king, no, not in thy thought; and curse not the rich in thy bedchamber: for the bird of the air will carry the voice, and that which hath wings will tell the matter.	Curse not the king, no, not in thy thought; and curse not the rich in thy bedchamber: for a bird of the air shall carry the voice, and that which hath wings shall tell the matter.	Curse not the king, no not in thy thought; and curse not the rich in thy bed-chamber: for a bird of the air will carry the voice, and that which hath wings will tell the matter.	Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter.	Even in thy mind a king revile not, And in the inner parts of thy bed-chamber Revile not the rich: For a fowl of the heavens causeth the voice to go, And a possessor of wings declareth the word.	Curse not the king, no not in your thought; and curse not the rich in your bedchamber: for a bird of the air shall carry the voice, and that which has wings shall tell the matter.	
Ecclesiastes 11:1	Cast thy bread upon the waters: for thou shalt find it after many days.	Cast thy bread upon the waters; for thou shalt find it after many days.	Cast thy bread upon the running waters: for after a long time thou shalt find it again. 	Cast thy bread upon the waters; for thou shalt find it after many days.	Cast thy bread upon the waters: for thou shalt find it after many days.	Cast thy bread upon the waters: for thou shalt find it after many days.	Cast your bread on the waters; for you shall find it after many days.	Send forth thy bread on the face of the waters, For in the multitude of the days thou dost find it.	Cast your bread on the waters: for you shall find it after many days.	
Ecclesiastes 11:2	Give a portion to seven, and also to eight; for thou knowest not what evil shall be upon the earth.	Give a portion to seven, yea, even unto eight; for thou knowest not what evil shall be upon the earth.	Give a portion to seven, and also to eight: for thou knowest not what evil shall be upon the earth. 	Give a portion to seven, and also to eight; for thou knowest not what evil shall be upon the earth.	Give a portion to seven, yea, even unto eight; for thou knowest not what evil shall be upon the earth.	Give a portion to seven, and also to eight; for thou knowest not what evil shall be upon the earth.	Give a portion to seven, yes, even to eight; for you don't know what evil will be on the earth.	Give a portion to seven, and even to eight, For thou knowest not what evil is on the earth.	Give a portion to seven, and also to eight; for you know not what evil shall be on the earth.	
Ecclesiastes 11:3	If the clouds be full of rain, they empty <i>themselves</i> upon the earth: and if the tree fall toward the south, or toward the north, in the place where the tree falleth, there it shall be.	If the clouds be full of rain, they empty themselves upon the earth; and if a tree fall toward the south, or toward the north, in the place where the tree falleth, there shall it be.	If the clouds be full, they will pour out rain upon the earth. If the tree fall to the south, or to the north, in what place soever it shall fall, there shall it be. 	If the clouds be full of rain, they empty themselves upon the earth; and if a tree fall toward the south, or toward the north, in the place where the tree falleth, there it shall be.	If the clouds be full of rain, they empty themselves upon the earth: and if a tree fall toward the south, or toward the north, in the place where the tree falleth, there shall it be.	If the clouds are full of rain, they empty themselves upon the earth: and if the tree falleth towards the south, or towards the north, in the place where the tree falleth, there it shall be.	If the clouds are full of rain, they empty themselves on the earth; and if a tree falls toward the south, or toward the north, in the place where the tree falls, there shall it be.	If the thick clouds are full of rain, On the earth they empty themselves; And if a tree doth fall in the south or to the north, The place where the tree falleth, there it is.	If the clouds be full of rain, they empty themselves on the earth: and if the tree fall toward the south, or toward the north, in the place where the tree falls, there it shall be.	
Ecclesiastes 11:4	He that observeth the wind shall not sow; and he that regardeth the clouds shall not reap.	He that observeth the wind shall not sow; and he that regardeth the clouds shall not reap.	He that observeth the wind, shall not sow: and he that considereth the clouds, shall never reap. 	He that observeth the wind will not sow; and he that regardeth the clouds will not reap.	He that observeth the wind shall not sow; and he that regardeth the clouds shall not reap.	He that observeth the wind shall not sow; and he that regardeth the clouds shall not reap.	He who observes the wind won't sow; and he who regards the clouds won't reap.	Whoso is observing the wind soweth not, And whoso is looking on the thick clouds reapeth not.	He that observes the wind shall not sow; and he that regards the clouds shall not reap.	
Ecclesiastes 11:5	As thou knowest not what <i>is</i> the way of the spirit, <i>nor</i> how the bones <i>do grow</i> in the womb of her that is with child: even so thou knowest not the works of God who maketh all.	As thou knowest not what is the way of the wind, nor how the bones do grow in the womb of her that is with child; even so thou knowest not the work of God who doeth all.	As thou knowest not what is the way of the spirit, nor how the bones are joined together in the womb of her that is with child: so thou knowest not the works of God, who is the maker of all. 	As thou knowest not what is the way of the spirit, how the bones grow in the womb of her that is with child, even so thou knowest not the work of God who maketh all.	As thou knowest not what is the way of the wind, nor how the bones do grow in the womb of her that is with child; even so thou knowest not the work of God who doeth all.	As thou knowest not what is the way of the spirit, nor the structure of the parts of conception in her that is with child: even so thou knowest not the works of God who maketh all.	As you don't know what is the way of the wind, nor how the bones grow in the womb of her who is with child; even so you don't know the work of God who does all.	As thou knowest not what is the way of the spirit, How &#8212; bones in the womb of the full one, So thou knowest not the work of God who maketh the whole.	As you know not what is the way of the spirit, nor how the bones do grow in the womb of her that is with child: even so you know not the works of God who makes all.	
Ecclesiastes 11:6	In the morning sow thy seed, and in the evening withhold not thine hand: for thou knowest not whether shall prosper, either this or that, or whether they both <i>shall be</i> alike good.	In the morning sow thy seed, and in the evening withhold not thy hand; for thou knowest not which shall prosper, whether this or that, or whether they both shall be alike good.	In the morning sow thy seed, and In the evening let not thy hand cease: for thou knowest not which may rather spring up, this or that: and if both together, it shall be the better. 	In the morning sow thy seed, and in the evening withhold not thy hand; for thou knowest not which shall prosper, whether this or that, or whether they both shall be alike good.	In the morning sow thy seed, and in the evening withhold not thine hand: for thou knowest not which shall prosper, whether this or that, or whether they both shall be alike good.	In the morning sow thy seed, and in the evening withhold not thy hand: for thou knowest not whether shall prosper, either this or that, or whether they both shall be alike good.	In the morning sow your seed, and in the evening don't withhold your hand; for you don't know which will prosper, whether this or that, or whether they both will be equally good.	In the morning sow thy seed, And at even withdraw not thy hand, For thou knowest not which is right, this or that, Or whether both of them alike are good.	In the morning sow your seed, and in the evening withhold not your hand: for you know not whether shall prosper, either this or that, or whether they both shall be alike good.	
Ecclesiastes 11:7	Truly the light <i>is</i> sweet, and a pleasant <i>thing it is</i> for the eyes to behold the sun:	Truly the light is sweet, and a pleasant thing it is for the eyes to behold the sun.	The light is sweet, and it is delightful for the eyes to see the sun. 	Now the light is sweet, and pleasant is it to the eyes to see the sun;	Truly the light is sweet, and a pleasant thing it is for the eyes to behold the sun.	Truly the light is sweet, and a pleasant thing it is for the eyes to behold the sun:	Truly the light is sweet, and a pleasant thing it is for the eyes to see the sun.	Sweet also is the light, And good for the eyes to see the sun.	Truly the light is sweet, and a pleasant thing it is for the eyes to behold the sun:	
Ecclesiastes 11:8	But if a man live many years, <i>and</i> rejoice in them all; yet let him remember the days of darkness; for they shall be many. All that cometh <i>is</i> vanity.	Yea, if a man live many years, let him rejoice in them all; but let him remember the days of darkness, for they shall be many. All that cometh is vanity.	If a man live many years, and have rejoiced in them all, he must remember the darksome time, and the many days: which when they shall come, the things past shall be accused of vanity. 	but if a man live many years, and rejoice in them all, yet let him remember the days of darkness; for they shall be many: all that cometh is vanity.	Yea, if a man live many years, let him rejoice in them all; but let him remember the days of darkness, for they shall be many. All that cometh is vanity.	But if a man shall live many years, and rejoice in them all; yet let him remember the days of darkness; for they shall be many. All that cometh is vanity.	Yes, if a man lives many years, let him rejoice in them all; but let him remember the days of darkness, for they shall be many. All that comes is vanity.	But, if man liveth many years, In all of them let him rejoice, And remember the days of darkness, For they are many! all that is coming is vanity.	But if a man live many years, and rejoice in them all; yet let him remember the days of darkness; for they shall be many. All that comes is vanity.	
Ecclesiastes 11:9	Rejoice, O young man, in thy youth; and let thy heart cheer thee in the days of thy youth, and walk in the ways of thine heart, and in the sight of thine eyes: but know thou, that for all these <i>things</i> God will bring thee into judgment.	Rejoice, O young man, in thy youth, and let thy heart cheer thee in the days of thy youth, and walk in the ways of thy heart, and in the sight of thine eyes; but know thou, that for all these things God will bring thee into judgment.	Rejoice therefore, O young man, in thy youth, and let thy heart be in that which is good in the days of thy youth, and walk in the ways of thy heart, and in the sight of thy eyes: and know that for all these God will bring thee into judgment. 	Rejoice, young man, in thy youth; and let thy heart cheer thee in the days of thy youth, and walk in the ways of thy heart, and in the sight of thine eyes; but know that for all these things God will bring thee into judgment.	Rejoice, O young man, in thy youth; and let thy heart cheer thee in the days of thy youth, and walk in the ways of thine heart, and in the sight of thine eyes: but know thou, that for all these things God will bring thee into judgment.	Rejoice, O young man, in thy youth; and let thy heart cheer thee in the days of thy youth, and walk in the ways of thy heart, and in the sight of thy eyes: but know thou, that for all these things God will bring thee into judgment.	Rejoice, young man, in your youth, and let your heart cheer you in the days of your youth, and walk in the ways of your heart, and in the sight of your eyes; but know that for all these things God will bring you into judgment.	Rejoice, O young man, in thy childhood, And let thy heart gladden thee in days of thy youth, And walk in the ways of thy heart, And in the sight of thine eyes, And know thou that for all these, Doth God bring thee into judgment.	Rejoice, O young man, in your youth; and let your heart cheer you in the days of your youth, and walk in the ways of your heart, and in the sight of your eyes: but know you, that for all these things God will bring you into judgment.	
